,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Doble tipo
4,4,Charmander,Fire,,309,39,52,43,60,50,65,1,False,False
5,5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False,False
6,6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False,True
7,6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False,True
8,6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False,True
9,7,Squirtle,Water,,314,44,48,65,50,64,43,1,False,False
10,8,Wartortle,Water,,405,59,63,80,65,80,58,1,False,False
11,9,Blastoise,Water,,530,79,83,100,85,105,78,1,False,False
12,9,BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,False,False
42,37,Vulpix,Fire,,299,38,41,40,50,65,65,1,False,False
43,38,Ninetales,Fire,,505,73,76,75,81,100,100,1,False,False
59,54,Psyduck,Water,,320,50,52,48,65,50,55,1,False,False
60,55,Golduck,Water,,500,80,82,78,95,80,85,1,False,False
63,58,Growlithe,Fire,,350,55,70,45,70,50,60,1,False,False
64,59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False,False
65,60,Poliwag,Water,,300,40,50,40,40,40,90,1,False,False
66,61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False,False
67,62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False,True
78,72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False,True
79,73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False,True
83,77,Ponyta,Fire,,410,50,85,55,65,65,90,1,False,False
84,78,Rapidash,Fire,,500,65,100,70,80,80,105,1,False,False
85,79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,True
86,80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False,True
87,80,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,False,True
93,86,Seel,Water,,325,65,45,55,45,70,45,1,False,False
94,87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False,True
97,90,Shellder,Water,,305,30,65,100,45,25,40,1,False,False
98,91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False,True
106,98,Krabby,Water,,325,30,105,90,25,25,50,1,False,False
107,99,Kingler,Water,,475,55,130,115,50,50,75,1,False,False
125,116,Horsea,Water,,295,30,40,70,70,25,60,1,False,False
126,117,Seadra,Water,,440,55,65,95,95,45,85,1,False,False
127,118,Goldeen,Water,,320,45,67,60,35,50,63,1,False,False
128,119,Seaking,Water,,450,80,92,65,65,80,68,1,False,False
129,120,Staryu,Water,,340,30,45,55,70,55,85,1,False,False
130,121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False,True
135,126,Magmar,Fire,,495,65,95,57,100,85,93,1,False,False
139,129,Magikarp,Water,,200,20,10,55,15,20,80,1,False,False
140,130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False,True
141,130,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,False,True
142,131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,True
145,134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False,False
147,136,Flareon,Fire,,525,65,130,60,95,110,65,1,False,False
158,146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True,True
